Attention,Meditation,Low-Alpha,Hight-Alpha,Low-Beta,High Beta,Low-Gamma,Mid-Gamma,Raw-Value,Delta,Theta,Class
77,47,6269,14891,13967,10742,4328,1835,87,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,99,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,74,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,57,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,-1,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,144,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,105,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,-11,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,-19,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,48,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,39,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,26,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,59,951293,62745,1
80,50,44825,35419,18480,19321,5788,2022,40,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,35,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,67,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,16,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,84,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,4,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,71,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,36,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,75,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,107,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,37,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,27,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,72,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,48,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,-9,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,125,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,165,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,13,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,-20,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,-17,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,-44,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,54,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,32,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,51,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,84,48367,74688,1
80,50,44825,35419,18480,19321,5788,2022,60,48367,74688,1
75,54,12101,33127,3862,7561,6609,3077,1,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,25,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,77,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,27,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,17,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,53,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,99,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,85,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,50,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,37,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,-21,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,55,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,1,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,58,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,54,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,1,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,71,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,58,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,26,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,66,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,7,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,39,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,36,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,57,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,-20,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,148,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,105,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,55,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,49,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,9,85764,83259,1
75,54,12101,33127,3862,7561,6609,3077,2,85764,83259,1
83,43,5182,19244,14260,17128,5437,2961,59,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,45,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,40,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,38,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,51,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,42,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,32,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,70,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,37,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,-27,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,-25,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,55,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,82,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,23,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,32,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,26,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,74,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,57,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,40,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,32,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,42,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,57,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,39,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,59,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,58,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,74,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,60,41962,57399,1
83,43,5182,19244,14260,17128,5437,2961,40,41962,57399,1
81,56,24999,8107,13450,4789,3790,3541,70,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,80,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,54,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,72,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,141,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,86,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,346,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,373,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,71,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,-35,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,-236,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,-295,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,-323,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,-230,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,-99,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,19,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,100,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,149,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,121,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,120,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,97,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,116,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,132,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,65,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,52,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,11,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,59,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,90,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,54,6837,10464,1
81,56,24999,8107,13450,4789,3790,3541,49,6837,10464,1
66,41,5808,10331,21586,7207,4031,2465,50,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,54,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,55,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,40,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,-41,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,24,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,57,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,52,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,51,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,4,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,-28,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,22,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,-4,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,59,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,43,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,42,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,134,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,450,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,400,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,162,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,-285,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,-355,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,-305,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,-189,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,5,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,92,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,108,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,87,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,86,155625,106874,1
66,41,5808,10331,21586,7207,4031,2465,139,155625,106874,1
